Rk,G,Date,+/-
60,49,3/1/2023,16
61,50,3/3/2023,-12
62,51,3/5/2023,3
63,52,3/8/2023,6
64,53,3/11/2023,17
65,54,3/15/2023,-8
66,55,3/17/2023,13
67,56,3/18/2023,12
68,57,3/20/2023,-3
69,58,3/22/2023,-27
70,59,3/24/2023,19
71,60,3/26/2023,-2
72,61,3/27/2023,-9
73,62,3/29/2023,-32
74,63,3/31/2023,12
,,,
